original index,load power (kW),solar power (kW),battery power (kW),battery SoC (kWh),solar capacity (kW),battery capacity (kWh),battery peak power (kW)
1544101200,0.666359184153112,0.0,-0.666959184773,6.41126315789,5.07333336274,9.8,5.0
1544101500,0.6709183633695299,0.0,-0.671918364204,6.3482222222199995,5.07333336274,9.8,5.0
1544101800,0.6617877556348599,0.0,-0.66538775697,6.272,5.07333336274,9.8,5.0
1544102100,0.66266122717,0.0,-0.664061227623,6.184315789469999,5.07333336274,9.8,5.0
1544102400,0.6672376629460919,0.0,-0.6676458331449999,6.125,5.07333336274,9.8,5.0
1544102700,0.662555580374,0.0,-0.66436734978,6.065684210530001,5.07333336274,9.8,5.0
1544103000,0.660670825987787,0.0,-0.66127083078,5.978,5.07333336274,9.8,5.0
1544103300,0.657877548969372,0.0,-0.656877549327,5.9109473684200005,5.07333336274,9.8,5.0
1544103600,0.59391428755234,0.0,-0.600714289412,5.85277777778,5.07333336274,9.8,5.0
1544103900,0.6042249899114001,0.0,-0.601624992987,5.782,5.07333336274,9.8,5.0
1544104200,0.6581428573810929,0.0,-0.658142856189,5.70577777778,5.07333336274,9.8,5.0
1544104500,0.655836735075721,0.0,-0.656836733526,5.6478947368400005,5.07333336274,9.8,5.0
1544104800,0.6541836748317199,0.0,-0.6564285706499999,5.586,5.07333336274,9.8,5.0
1544105100,0.65472671185036,0.0,-0.653354162971,5.49315789474,5.07333336274,9.8,5.0
1544105400,0.65583265557543,0.0,-0.657632656243,5.43355555556,5.07333336274,9.8,5.0
1544105700,0.8433265291676,0.0,-0.832326526545,5.36421052632,5.07333336274,9.8,5.0
1544106000,1.0329250030701798,0.0,-1.0351249997799998,5.25933333333,5.07333336274,9.8,5.0
1544106300,1.03032000184447,0.0,-1.03311999679,5.1475789473699995,5.07333336274,9.8,5.0
1544106600,1.02725714627634,0.0,-1.03385713879,5.03926315789,5.07333336274,9.8,5.0
1544106900,0.888825528825,0.0,-0.891425533498,4.93266666667,5.07333336274,9.8,5.0
1544107200,0.98159591156625,0.0,-0.983795920197,4.838105263159999,5.07333336274,9.8,5.0
1544107500,0.8830979591602999,0.0,-0.8978979587549999,4.7312222222199996,5.07333336274,9.8,5.0
1544107800,0.56070000474638,0.0,-0.55750000601,4.65242105263,5.07333336274,9.8,5.0
1544108100,0.67296327193162,0.0,-0.671163270668,4.59568421053,5.07333336274,9.8,5.0
1544108400,0.6668979561081401,0.0,-0.6708979594460001,4.508,5.07333336274,9.8,5.0
1544108700,0.6735714272575501,0.0,-0.6725510188510001,4.43177777778,5.07333336274,9.8,5.0
1544109000,0.45523649519701004,0.0,-0.460530610717,4.3893684210499995,5.07333336274,9.8,5.0
1544109300,0.45218367645949004,0.0,-0.454183672764,4.312,5.07333336274,9.8,5.0
1544109600,0.45353061229562797,0.0,-0.454530611938,4.2847777777800005,5.07333336274,9.8,5.0
1544109900,0.4723673444988608,0.0,-0.4723673462870001,4.214,5.07333336274,9.8,5.0
1544110200,0.4626291673879301,0.0,-0.4642291652660001,4.17588888889,5.07333336274,9.8,5.0
1544110500,0.44913061191791,0.0,-0.450530613563,4.116,5.07333336274,9.8,5.0
1544110800,0.44096326328085,0.0,-0.443163264163,4.06957894737,5.07333336274,9.8,5.0
1544111100,0.44057499406284695,0.0,-0.440374999618,4.018,5.07333336274,9.8,5.0
1544111400,0.43950612148424,0.0,-0.441306124536,3.9715789473700003,5.07333336274,9.8,5.0
1544111700,0.436991663252568,0.0,-0.437791667258,3.92,5.07333336274,9.8,5.0
1544112000,0.43400408011336,0.0,-0.435204079565,3.87357894737,5.07333336274,9.8,5.0
1544112300,0.43333469497903,0.0,-0.4338367332,3.822,5.07333336274,9.8,5.0
1544112600,0.4347187720341801,0.0,-0.4334285721490001,3.7704210526299997,5.07333336274,9.8,5.0
1544112900,0.437339371304503,0.0,-0.438229167834,3.724,5.07333336274,9.8,5.0
1544113200,0.3852654895833801,0.0,-0.3893399995570001,3.67242105263,5.07333336274,9.8,5.0
1544113500,0.36992653172805,0.0,-0.366326531585,3.626,5.07333336274,9.8,5.0
1544113800,0.43901224380813997,0.0,-0.441612246693,3.60021052632,5.07333336274,9.8,5.0
